# dbox2d conformance trace v1 kind=function name=atan2 ref=0aa402e cc=gcc-13.2.0 flags=-O3,-DNDEBUG,-std=gnu17,-ffp-contract=off,-fno-fast-math
cases 1024
case 0 00000000 00000000 | 00000000
case 1 41033346 00000000 | 3fc90fdb
case 2 00000000 c107ca50 | 40490fdb
case 3 3e994940 c0f1df64 | 4046873c
case 4 c0e41548 c05dbeba | c0017d08
case 5 bdf96200 40a7fbd0 | bcbdfd92
case 6 c0ee835d c0a7a6cf | c00bbe05
case 7 bfb68b70 c0f14962 | c03d1921
case 8 c10d7e5b c04f68a0 | bff60654
case 9 4081ef84 40963aac | 3f368d9d
case 10 c0f7c570 40bad4f4 | bf6cb87a
case 11 3da32100 c0f38d67 | 40486465
case 12 405490a8 c0b453e9 | 4026fa63
case 13 c119ef74 40d6002c | bf769f0e
case 14 41165eee bfcb5398 | 3fde7e9d
case 15 407290e4 401c0038 | 3f7fd0b3
case 16 c10f185e c03cbc7a | bff1d526
case 17 c11ef97e 00000000 | bfc90fdb
case 18 00000000 40836686 | 00000000
case 19 40e6ae50 c0fd7e7b | 4019cf8a
case 20 40c82210 c0558aac | 4003e53c
case 21 4016c42c c0b9e4f4 | 403067d9
case 22 c0e85c51 c11b7f77 | c01ffe60
case 23 4002a604 40c1ba04 | 3ea684fa
case 24 40de7a3c 3fca4f90 | 3fac72ae
case 25 3fe97bd8 407ac4f4 | 3edf12c1
case 26 c113d9e8 c0c89a11 | c00aadff
case 27 c11aa875 40288a50 | bfa703c2
case 28 410786d0 c045a48c | 3ff5cffc
case 29 c0f8ab71 40b868f2 | bf6ec489
case 30 c0dc9039 40494694 | bf924558
case 31 4077a4f0 c00b0c16 | 400545ea
case 32 00000000 00000000 | 00000000
case 33 40de843c 00000000 | 3fc90fdb
case 34 00000000 41133c68 | 00000000
case 35 bfa7b350 40b714ec | be66869d
case 36 3f148530 c0d39427 | 404375e6
case 37 c11302e6 40a0adc2 | bf890bd7
case 38 4005ee10 c05de6bc | 40264f1e
case 39 40c6c40c 40ab11d6 | 3f5c31e2
case 40 3fae5760 4081ea84 | 3ea5bba8
case 41 c0d83f30 c0650cca | c003b378
case 42 408ad796 41109460 | 3ee530e9
case 43 40e12240 40d00b20 | 3f532989
case 44 410f1fde 40f9aa74 | 3f5a8249
case 45 40c03e00 40e78f50 | 3f316285
case 46 40880790 407092e0 | 3f58c409
case 47 c0b86df1 c0eff060 | c01f1e8e
case 48 c1017dc3 c09874b1 | c00694b9
case 49 c11c35f8 00000000 | bfc90fdb
case 50 00000000 c114d8ea | 40490fdb
case 51 c0e12c42 c04c2098 | bfff88b3
case 52 3fc2f788 40bb0bf8 | 3e82859e
case 53 c105bacc 3fbee780 | bfb27568
case 54 c105ae4b 3fe863d0 | bfadac2b
case 55 c061a6c4 c02d0858 | c00e6648
case 56 c1135a67 3f829700 | bfbaf086
case 57 c069f8d4 40fe8280 | bedc97bf
case 58 40b66fec c118a2f1 | 4026969b
case 59 c0819583 bfe6e7d0 | bffeb444
case 60 3ffb0ff0 4072c2e4 | 3ef455be
case 61 40b318e6 c0fd977b | 4021b52f
case 62 bfbe0b80 3f7f1600 | bf7acefe
case 63 c1134166 bf481590 | bfd3e7f3
case 64 00000000 00000000 | 00000000
case 65 3ff0d3e0 00000000 | 3fc90fdb
case 66 00000000 c07966f4 | 40490fdb
case 67 405558a8 402fd860 | 3f61a5d6
case 68 c11b81f7 41115764 | bf51b73e
case 69 c003fa08 41013542 | be800301
case 70 3fa23b40 c0f6446c | 403e9d82
case 71 4018e030 c0a2b5c6 | 402cf475
case 72 bfba5f78 402a1054 | bf0051f5
case 73 c10182c3 c0ed115a | c013f706
case 74 40dac934 4080a082 | 3f8508c3
case 75 40a45ec8 4008be14 | 3f969b19
