# dbox2d conformance trace v1 kind=function name=collide_chain_segment_and_circle ref=0aa402e cc=gcc-13.2.0 flags=-O3,-DNDEBUG,-std=gnu17,-ffp-contract=off,-fno-fast-math
cases 256
case 0 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 1 3f9d70bc bfa2f2c6 bf384fde bf31aa6c bddaf5b6 3da143a8 3e853b24 3fa3b028 bf964249 3f7ed6b9 3dc2d911 | bf31aa68 3f384fe0 00000000 1 3fa805d5 bfa126db 3da9518d 3c65f588 3d0ab59a bdae491f bdc1a028 0
case 1 bac49ba6 00000000 ba03126f 00000000 3a03126f 00000000 3ac49ba6 00000000 2 c0a7a6cf c0ee835d bf3749cf bf32b8b7 bee263c5 3e705de0 3f907be1 c0a304ea c0e468ca 3f66a2b3 bede334a | 00000000 00000000 00000000 0
case 2 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 3 3fe032c0 c014a9aa 3f800000 00000000 3a9c9b00 bdad1d5b 3ea648e6 3fc2f8d2 c0171010 3f800000 00000000 | b4031dea bf800000 00000000 1 3fc31ff9 c00e2cc4 be689638 3dcf9cbe 3a9c9c00 3e0e34bf be4f9cbe 0
case 3 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 4 40006680 c038b8f1 3f60b259 bef555f4 3d68dd04 bd352fd2 3dc22beb 40035baf c03d124d bf7b5bd7 3e421ab5 | bef555d9 bf60b260 00000000 1 4001f850 c0369578 3cc8e81e 3d08de4d bcb1af62 3dcf9aa6 bda84444 0
case 4 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 5 bfbec4fe 3f1dae3c bf4b4f86 bf1b90e6 3dc020b4 bdb27565 3e9d03d4 bfeeee69 3fa2de20 bf23c039 3f44c735 | 00000000 00000000 00000000 0
case 5 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 6 c11b7f77 c0e85c51 bea71cea 3f71fae1 3eb1fb64 3e489d90 3f7d2f7b c0ed0724 c0c977ec 3f4d190e 3f1933bb | 00000000 00000000 00000000 0
case 6 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 7 bff0b8e2 c0316be3 3f800000 00000000 be1478c3 bd3dbcae 3ed7b74a bfe69c1b c0616be3 3f800000 00000000 | 00000000 00000000 00000000 0
case 7 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 8 3fdd4abc c01533aa 3f0cf934 3f55b015 3d6dbd10 3dd59dac 3edebdd8 40146a53 c0331dc5 bf0f79ff bf5403ea | 00000000 00000000 00000000 0
case 8 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 9 3f5bb2b8 be493d90 bef89ce4 bf5fcb5c be0d2181 bd550678 3e9a7d4f c0578338 3ffd3788 3f7baf04 3e3b3f43 | 00000000 00000000 00000000 0
case 9 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 10 40ab11d6 40c6c40c 3e95c380 3f74cdac beacff5a 3ee753ce 00000000 419134d4 3ff5cdf0 3f68d0fb 3ed4e8b2 | 00000000 00000000 00000000 0
case 10 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 11 3fa69c4c 3ff9a6f0 3f800000 00000000 3defade0 3e096646 3ecbde32 3fc1a068 c0332c88 3f800000 00000000 | 00000000 00000000 00000000 0
case 11 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 12 3fe6b0d0 3f905820 3e7062ec 3f78d89d bd925b8c bdf89f8b 3da2b1ac 40cc204f be1f2fa8 bf34e936 bf3520ac | 00000000 00000000 00000000 0
case 12 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 13 bfb29de5 bef4f3e8 bf18e5d7 bf4d5324 3cb744a0 be006168 3e97d449 bfcd358c bec2e9dc be87240f 3f76ebea | bf4d5324 3f18e5d6 00000000 1 bfa6c648 beed8d6a 3dbd79cc 3c6ccfc0 3e99bd0f bdaa8e38 be064a12 0
case 13 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 14 c105ae4b c02d0858 3ee51c78 bf64f05b 3ecb9b98 be3b2d76 3e8eba1d c1170192 c00dcd11 3f72d933 3ea1fedd | 00000000 00000000 00000000 0
case 14 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 15 3fdaecb8 bf0a8b14 3f800000 00000000 3d690d04 3cf10510 3de94a3a 3fcb5fe6 bf4424ae 3f800000 00000000 | 00000000 00000000 00000000 0
case 15 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 16 3fd6eaac 3e990d38 3f648f70 bee69e42 3ce731d0 bd6f6d14 3ea0c6db 3faa6426 3e63bf8b 3f78386d be7a8602 | bee69e3f bf648f71 00000000 1 3fbd118c 3ed825db be4ec903 3dfc628b 3e156b2d 3e4c8c2a bd1c3300 0
case 16 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 17 3f000200 3fae68de bf7efa5c bdb6d215 bdec6aa6 3c9bbe00 3e2b2c8a 3f0eecc1 3fb3e5b9 bf529234 3f11967a | 00000000 00000000 00000000 0
