# dbox2d conformance trace v1 kind=function name=collide_segment_and_circle ref=0aa402e cc=gcc-13.2.0 flags=-O3,-DNDEBUG,-std=gnu17,-ffp-contract=off,-fno-fast-math
cases 256
case 0 bedc1b1e 3d94cdf2 3e89fefa 3d3a2f18 3f9d70bc bfa2f2c6 bf384fde bf31aa6c bde4f8fe bde7a29c 3e716b16 3f98e297 bfa16f68 3f7ed6b9 3dc2d911 | bf2a5e41 3f3f13e3 00000000 1 3f98c16e bfbf7ee9 bd15e9b0 be64611b ba84a200 be707c0b be3090bb 0
case 1 be94eb2e be92234f be946826 be921ff9 c04f68a0 c10d7e5b 3dc6b07a 3f7ecadb be904320 3e2a0d54 3fa5800b c0574bd9 c10dd3e3 3e95ab8d 3f74d156 | bf7e2ddd 3df3d4af 00000000 1 c029ccb1 c1133058 3f166fbb beb63f93 3f35fc9f beab8e93 bf2b0d40 0
case 2 bdfed7f1 3e7a8910 3e379502 be23362c c038b8f1 bef3fde8 3f800000 00000000 be189d98 3d7c49f8 3de9683a c03b1434 bef05a35 3f800000 00000000 | 00000000 00000000 00000000 0
case 3 3d89c5ec bf17d833 be9266db 3edc0a0a 400a6896 bf802000 bec513ea 3f6c4684 3cc237e8 3dd59414 3eac03f2 40083b8c bf7c3322 be818e92 bf77ab2b | bf2a42ca 3f3f2c5e 00000000 1 4016d41c bf978d7f 3e46b862 be3b6bfa 3e698902 be4b9f72 be8aff1f 0
case 4 3d072b74 be385446 bdd1e33e 3ebdbe67 3e8c1718 bf70b8e2 bf78a6ee be739413 3d413984 bdd3bda8 3e6315fa 3f7aa469 bf2f8a55 3f2d48f3 3f3c6fc1 | 00000000 00000000 00000000 0
case 5 be7830ba bf4c9c1c be81cc9f 3f57bfb2 4077a4f0 40de843c bf77e647 3e7f8e94 be318564 3dd649b0 3f9ac476 3ff37306 4107efbf be67b396 3f795c49 | 00000000 00000000 00000000 0
case 6 3f089416 be832b74 bf1d3166 3dd54892 3fee84dc 3f9be638 3f800000 00000000 3dc7b8c2 3dd820e4 3ed14cbc 4022e99d 3fc3d1da 3f800000 00000000 | 00000000 00000000 00000000 0
case 7 bdd70726 3e567749 bd827bf4 beada0aa 402bbfd8 400aef96 bea011a2 3f732ae9 be15f660 be0ee4b8 3e4f8fd3 3ff7d044 40070d54 3ec322f2 3f6cad8c | 00000000 00000000 00000000 0
case 8 be7637e0 3e4f6528 3e900634 bec7f2a2 bf871a8e 3f6074c0 3f63280e 3eec19e5 3c7abb90 be0d7582 3ed2c0c0 c068e6f8 c046fc08 3f64514e 3ee793f3 | 00000000 00000000 00000000 0
case 9 3fe95636 3fadb2c3 bfc4ec2e bf9ade5d c069f8d4 c118a2f1 be6163c7 3f79b8c7 3d4c11a0 bd980930 00000000 4100bd14 c033ba04 3f57eae6 bf0988b6 | 00000000 00000000 00000000 0
case 10 bed074bf bf18fbe5 3ea3904b 3f28cf5f be7019e0 c030b4e1 3f800000 00000000 be154991 3df81458 3e6534fd 406d5adc bde6a720 3f800000 00000000 | 00000000 00000000 00000000 0
case 11 3ef26037 3e8083f6 bf019320 bed5dc20 c013c2a8 3ec2ad80 bcdd9d47 bf7fe805 3dd208d8 3d0345d4 3eb7b608 3f8fde7c c039c8e1 3f3b3ab3 3f2e96b1 | 00000000 00000000 00000000 0
case 12 bf211200 be8050f1 3ed52ba7 3ec67397 bdee39e0 bfa04fc1 3ed45a6c bf68f174 3ddb8a84 be09f17b 3dcb79fe be24713d bf84130d bee914b0 3f63ef58 | 00000000 00000000 00000000 0
case 13 3fa21102 bf608806 bf7589e7 3f0ab7da c0b2ebe6 40d90734 3f495086 bf1e23ff bef09fe1 be3fd580 3f91f6a4 c09aed6a 40d87ed6 bdb6b8cd 3f7efaa4 | 3f719352 3ea97019 00000000 1 c0b151fa 40bfa23c 3d4cf5d0 bf4b27c4 bf332483 bf46e4d4 bea05f3a 0
case 14 3e8f373e 3eccfdcd bd6ba86a beaa2207 bf41f384 bfbd9a7c 3f800000 00000000 bdf30de6 3c33ee40 3e8428a2 bf3aaf03 bfa1089b 3f800000 00000000 | bf688bdb 3ed61612 00000000 1 bf1c0d52 bfadaba0 3e1798c6 3dfeedc6 3df50d84 bdca304a 3c0b3620 0
case 15 3e2a7b99 3e86074e be46af9f bef33210 3e5b49b0 bff148e2 3f7f9fb1 bd5dfb3d bd987398 3d52c674 3db10fc9 3edaf060 bfe82eb0 3f76fd41 3e86a505 | 3f5f82da bef9a140 00000000 1 3e95a614 bfe0c2b8 3da004f2 3e04314e be0a9497 3d6d7ef8 bd6f49c8 0
case 16 be94f2d5 3d8394f5 3efd5cbf be360e64 bf3b8477 3f6488c8 bf5b8eca 3f03a51c 3c8f1120 be063173 3e4902c5 bf3485a1 3f6b1bd8 bf77fc23 3e7e3a60 | 3f3e71f0 3f2b1339 00000000 1 bf4df02c 3f724b46 bd935da4 3d5c27e4 bdcb5454 3ce5edc8 bdab69ff 0
case 17 be700c57 3e8f3c58 be6f7967 3e8fa8e4 c04d429a c098c4b1 bf02a049 bf5c2a5a 3e73a5e8 3ec1c784 3e8e881d c045c45a c0975e01 bdb197a7 3f7f0922 | 00000000 00000000 00000000 0
case 18 bec0ca06 3d0313f6 3f019eb9 bde59543 3ca8c180 bdba3180 3f800000 00000000 3ce3be90 3dc303ee 3dc2dfec 3c572de8 bd5ddcb8 3f800000 00000000 | 00000000 00000000 00000000 0
