# dbox2d conformance trace v1 kind=function name=make_rot ref=0aa402e cc=gcc-13.2.0 flags=-O3,-DNDEBUG,-std=gnu17,-ffp-contract=off,-fno-fast-math
cases 1024
case 0 4124df05 3fd1eba5 | bf23342f bf453b6b
case 1 c12aa39c bfd943b3 | bea6e1ba 3f720516
case 2 c117f91a bfc17f83 | bf7f49d3 3d98993a
case 3 3ec0a000 3d7541fd | 3f6dfbb4 3ebcadf2
case 4 c08b5396 bf316561 | beb43890 3f6f9dd8
case 5 c10f4f12 bfb6776d | bf646248 bee750f0
case 6 40d3182e 3f86630c | 3f73684f 3e9e9aa5
case 7 be1cb100 bcc78175 | 3f7cf290 be1da938
case 8 c0d2ad5e bf861f0c | 3f746ad9 be9843d8
case 9 c115dcbb bfbecf7e | bf7f8cf1 bd729cfb
case 10 c1179ada bfc10782 | bf7fa9c1 3d521265
case 11 bfe56470 be920923 | be627141 bf79a98a
case 12 c0825198 bf25ed4d | bf18eadb 3f4d4f66
case 13 c131ce5b bfe263c5 | 3df286c7 3f7e32db
case 14 40bcc89a 3f705de3 | 3f6d4635 bec037c7
case 15 40a3482a 3f4fe59f | 3ec34599 bf6ca665
case 16 40eac7a2 3f957729 | 3efd6336 3f5e7397
case 17 c11bade4 bfc6378c | bf740ee6 3e9a8d64
case 18 c1190749 bfc2d785 | bf7d7586 3e0fea9d
case 19 3dccfe80 3c8280da | 3f7eaf8f 3dcf410c
case 20 c0e29b48 bf904321 | 3f32ad7c bf3754c3
case 21 40858efe 3f2a0d52 | bf03721e bf5bad55
case 22 410675e9 3fab3356 | bf05df58 3f5a34ec
case 23 c14170de bff64bed | 3f636a4b 3eeb1a4b
case 24 bfff81f0 bea2a942 | bed3bae6 bf6915c1
case 25 413cf627 3ff097e2 | 3f3a34df bf2fadd5
case 26 40440954 3ef999f1 | bf7f3068 3da2e12e
case 27 409868a2 3f420d85 | 3d5179d1 bf7faa3e
case 28 c06d2c48 bf16fd2f | bf584233 3f08ff46
case 29 c133d198 bfe4f3ca | 3e78196d 3f785f5f
case 30 c147c5fa bffe5bfc | 3f7f25af 3da70765
case 31 40a51f6a 3f523da2 | 3ede0bc1 bf66ac38
case 32 c11f4668 bfcacb96 | bf5cd15f 3f018528
case 33 4110f0eb 3fb88b73 | bf6eef45 3eb7ce8d
case 34 c0862c16 bf2ad557 | befe72cf 3f5e260a
case 35 40fb7e9e 3fa01b3f | bbae5103 3f7fff13
case 36 c0e99a0b bf94b729 | 3f06c49d bf59a79b
case 37 403d7560 3ef139de | bf7bba7b 3e3a47fa
case 38 c1436789 bff8cbf1 | 3f700c5e 3eb1e874
case 39 c111ff1a bfb9e375 | bf747429 be9807f8
case 40 40f371ae 3f9afb36 | 3e7b54b3 3f782b5e
case 41 40242d80 3ed1099f | bf5697cb 3f0b977e
case 42 3ffe3b30 3ea1d93e | becf1768 3f6a1fe0
case 43 410bc967 3fb1fb63 | bf45b917 3f229bd7
case 44 409d9022 3f489d8f | 3e589283 bf7a357f
case 45 4012b3c0 3ebac977 | bf29181d 3f4034bd
case 46 c0fc156d bfa07b41 | bcc4e5a4 bf7fed12
case 47 c139cb98 bfec8fd9 | 3f141abe 3f50cf05
case 48 4053cb40 3f06d50c | bf7c5721 be2c8704
case 49 c142595a bff773ef | 3f69b143 3ed108d6
case 50 c0785d80 bf1e1d3d | bf3d3086 3f2c7666
case 51 412a4ec9 3fd8d7b2 | beb0d476 bf703f54
case 52 40e7bc82 3f938727 | 3f132f37 3f51754d
case 53 c11c3e68 bfc6ef8d | bf713107 3eab9c9b
case 54 407cee34 3f210542 | bf306f73 bf397d76
case 55 c10a9585 bfb07361 | bf38f95f bf30f9e9
case 56 c02ebb5c bede79bc | bf6a8862 becd3c40
case 57 409b997a 3f461d8e | 3e1ab14c bf7d0fe1
case 58 410bcfaf 3fb20363 | bf45f8c0 3f224e4f
case 59 413905ab 3feb93d7 | 3f09dfd8 bf57b34b
case 60 40e6113a 3f927723 | 3f1de175 3f4984b9
case 61 bfd2bd10 be86290a | bd9cd95c bf7f3f84
case 62 c104f058 bfa94353 | bee1419d bf65e4aa
case 63 3f3aa2d0 3deda1df | 3f3ee9e1 3f2a8d54
case 64 40c9ea36 3f808b02 | 3f7fe7ee 3cde0541
case 65 c138bd69 bfeb37d7 | 3f060f65 3f5a176a
case 66 c08b6cba bf318564 | beb2c166 3f6fe410
case 67 40284d20 3ed649af | bf5f1bbc 3efb112c
case 68 40d6f8f6 3f88db12 | 3f6816e5 3ed80f5f
case 69 40f9c6ca 3f9f033e | 3d4987e9 3f7fb0a0
case 70 40a341e2 3f4fdd9f | 3ec2e916 bf6cb977
case 71 3fdb1570 3e8b7919 | be113c23 3f7d697f
case 72 c08fea94 bf373d6d | be5c1f41 3f7a03ea
case 73 c107df34 bfacff59 | bf188636 bf4d9a37
case 74 4135af21 3fe753cf | 3eb4d0ba bf6f812f
case 75 40ae7962 3f5e25bb | 3f2c9dc2 bf3d0c9d
case 76 4102b7b1 3fa66f4b | be9fbe2f 3f7338a0
case 77 410d74ad 3fb41b69 | bf558bda 3f0d3011
case 78 411cdea3 3fc7bb90 | bf6daaac bebe44d0
case 79 4133db05 3fe4ffcb | 3e7a619f bf783ab8
case 80 41117e49 3fb93f71 | bf71f3b5 3ea7466f
case 81 40f19426 3f99cb35 | 3e9a4b9a 3f74194d
case 82 4097282e 3f407581 | 3c3bdee9 bf7ffbb2
case 83 40aaf096 3f59a5b5 | 3f16c4c5 bf4ee4ad
case 84 c116c213 bfbff380 | bf7fffcf bb1ff955
case 85 c0e7c2ca bf938b27 | 3f130632 bf51921a
case 86 c0bf94e7 bf73ede8 | 3f74bc40 3e963544
case 87 c122b938 bfcf2f9e | bf3c18a0 3f2da783
case 88 c1444ce1 bff9eff3 | 3f74a276 3e96dcf6
case 89 c13b0c0c bfee27dc | 3f23f067 3f449f14
case 90 c08041ca bf234d47 | bf25cb79 3f430f27
case 91 c10d7af5 bfb42368 | bf55c30d bf0cdc6f
case 92 40eb0cc6 3f95a32d | 3ef9a338 3f5f824e
case 93 3ff500b0 3e9bf93b | beacf875 3f70f2e1
case 94 3fefe5b8 3e98b930 | be99b066 3f7431c7
case 95 c1280cb6 bfd5f7ab | bef2640f 3f617e89
case 96 401203cc 3eb9e96f | bf27060e 3f42020b
case 97 c127fd01 bfd5e3ac | bef41c9c 3f610799
case 98 c0597070 bf0a6d15 | bf778f51 3e8262dc
case 99 c08dc7ee bf348569 | be8f1aa1 3f75cc1c
case 100 3fa41aa8 3e50f1a1 | 3e92880b 3f754abe
case 101 c1392b5e bfebc3d7 | 3f0bd910 3f566d17
case 102 411fe9c7 3fcb9b98 | bf577ee7 bf0a31ac
case 103 c0930249 bf3b2d75 | bdf4af50 3f7e2a95
case 104 c13fcf06 bff437e9 | 3f564ffd 3f0c05a7
case 105 40e541e2 3f91f324 | 3f22ebb8 3f45774d
